supermarket,no_of_items,variation,total,Payment Method,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,Gender,Weekly_Income_in_`000 (ksh),Spending_Score_(1-100),Age,Income Cluster
nakumatt,1,1,2560,card,2016-11-11,yes,08:16:00,morning,chain,kilimani,high,Friday,weekday,no,Male,15.0,39.0,19.0,2.0
nakumatt,12,5,2580,card,2016-11-11,yes,08:44:00,morning,chain,kilimani,high,Friday,weekday,no,Male,15.0,81.0,21.0,2.0
nakumatt,5,1,2397,mpesa,2017-01-13,yes,17:40:00,afternoon,chain,kilimani,high,Friday,weekday,no,Female,16.0,6.0,20.0,0.0
naivas,1,1,2561,cash,2017-05-19,no,20:10:00,night,chain,umoja,mid,Friday,weekday,no,Female,16.0,77.0,23.0,2.0
naivas,1,1,2598,cash,2017-05-19,no,15:16:00,afternoon,chain,umoja,mid,Friday,weekday,no,Female,17.0,40.0,31.0,0.0
naivas,7,2,2518,cash,2017-05-12,no,15:46:00,afternoon,chain,umoja,mid,Friday,weekday,no,Female,17.0,76.0,22.0,2.0
naivas,2,1,1000,cash,2017-05-19,no,15:50:00,afternoon,chain,umoja,mid,Friday,weekday,no,Female,18.0,6.0,35.0,0.0
naivas,3,2,2477,cash,2017-05-19,no,19:42:00,night,chain,umoja,mid,Friday,weekday,no,Female,18.0,94.0,23.0,2.0
tuskys,3,1,2493,cash,2017-05-19,yes,12:06:00,afternoon,chain,donholm,mid,Friday,weekday,no,Male,19.0,3.0,64.0,0.0
nakumatt,2,1,2590,cash,2017-05-26,yes,13:35:00,night,chain,kilimani,high,Friday,weekday,no,Female,19.0,72.0,30.0,2.0
nakumatt,1,1,2397,cash,2017-05-26,yes,15:52:00,afternoon,chain,kilimani,high,Friday,weekday,no,Male,19.0,14.0,67.0,0.0
nakumatt,1,1,2405,cash,2017-05-26,yes,11:02:00,morning,chain,kilimani,high,Friday,weekday,no,Female,19.0,99.0,35.0,2.0
